Place,Type,Size,Neighborhood,Address,Ambience,Purchase Required,Parking Situation,Free Wi-Fi,Has Cinnamon Rolls,Has Reviews,Description,Website,Google Maps Profile URL,Apple Maps Profile URL,Comments,Google Maps Place Id,Latitude,Longitude,Place Enhancements Link,Last Modified Time,Created Time,Operational,Photos
Veni Vidi Vici Cafe,Café,Unsure,Kannapolis,"804 N Main St, Kannapolis, NC 28081, USA",,Yes,Free,Unsure,Unsure,Yes,,http://www.venividivicicafe.com/,https://maps.google.com/?cid=3982539858942627730,"https://maps.apple.com/?ll=35.507366,-80.61756840000001&q=Veni%20Vidi%20Vici%20Cafe",,ChIJ_XFKsSIJVIgRkg8cvObSRDc,35.507366,-80.61756840000001,,1/6/2025 12:37pm,8/17/2024 11:09am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqHvF_8XgGjdOz1hQ7sDSapLTfvT92rXn4ImzaF-gC7suWey5Q7gHucYBz0OPxRyPCPgQls4sboq6_B1V73ZJ70JI8vevdTtOiU=s4800-w4800-h3200', 'https://lh3.googleusercontent.com/places/ANXAkqGSDqE1ERoFsZqgh4Sr6S9JQu9t1HQ2lkfE1lIYuWaTI3qUiwuHdCkR-CEX1gyVvHF_RfNF4eQQJiicdVlz8t2xIja9vUIhkzQ=s4800-w3599-h4800', 'https://lh3.googleusercontent.com/places/ANXAkqFbZ1jfypYZPSYo9hlZSogxtZCARrDqVOkH1pLPW_6zUzQYw4GZKNVKfCNfYHFRpRQ7L3s3FHLjo_fnOFeppF_1FFQbvh29xik=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqGATl2DV_0gZJgXZah4Ss_kdRTnlnDD5ui3Qtu36qdRryZmqUWymo-D8TVuBCT2YQMtvq7NBxuWgnc1fF3mLFTFMMHM7uS9nLw=s4800-w1171-h1560', 'https://lh3.googleusercontent.com/places/ANXAkqEDEu8yyq8dlcr3v6dRwTU3BsTAld-A_T3qrZLFouD0Td08c31gre4Q13BvMSzx-uQYD_r7gwQdRO5njJQr7ETlFX-7BCNcFAE=s4800-w3072-h4080', 'https://lh3.googleusercontent.com/places/ANXAkqFh9CXaZpg3DXi41kKfX4f89BgaPcW-SomdJiJxYBKE_jjtxS8U0iVmwNPcJCYs9Oz_njHoiqKFDRHQreZMVZFR70dGtA_-F5Q=s4800-w3024-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqEhN1LP3rC9UhGSC1k1nxA9b_JPY9lDBmO9DNoZzeYeta93i9szTL5fWd0bHKBJ4QvMUke9Jqj8B4h7AVvGUnhjHDGuZj2kknk=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqENOnjp5RJayFyRiIwFuYOZSVabRVJrGE-GMe6lE6srZgo8LRa-BGOVBgpDCafeTByShNueQdkVblIMb9Ib-x1Eh-_MnmGmP8w=s4800-w3072-h4080', 'https://lh3.googleusercontent.com/places/ANXAkqGk5Ps2BC39jU3cnoqregTmurlhbXp7-62K_Kzj687CVy_Qr1jwhRwGy48yrK3amoOl3JykwLbld4ffMHADhilNUqDth4afOoU=s4800-w3072-h4080', 'https://lh3.googleusercontent.com/places/ANXAkqE9I2sGM_V2F4kEg01fgTSRFuNxrQtSW9eTNr-jBxwrdUlOiQTjTzZT2sIddlQ5g4-Qs6O4OdVYDUp2BrhCTiUgcqzcs8WRihw=s4800-w3000-h4000']"
Verb Coffee,Coffee Shop,Medium,Concord,"1592 Concord Pkwy N, Concord, NC 28025, USA",,Yes,Free,Yes,Unsure,Yes,,http://verbcoffee.shop/,https://maps.google.com/?cid=13585722465774887907,"https://maps.apple.com/?ll=35.443477200000004,-80.60825539999999&q=Verb%20Coffee",,ChIJn-tzbVIPVIgR42OONZouirw,35.443477200000004,-80.60825539999999,,12/27/2024 11:05am,8/17/2024 10:51am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqEc_FDeVFKJSNr9aUZpiJUA7THzXto5MJQLjDRLvBtLEdAYIvwh9k9ngkVRLdcKdUnrzLmneFyX6XyK5Ty_HUCawBXQ0xIUHPw=s4800-w2268-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGUeN-0RI0KKSfdGurtc14WVsITT8gFryAbYewuQx62QaIjeiIRveeLZie3MW-DGaxfyxBBYECCCYRSKQo6wfciL-95U87nVEg=s4800-w1920-h1280', 'https://lh3.googleusercontent.com/places/ANXAkqEY8zLNqbjTsdebAKtFBvdvIEtxAraxgL1fQYWXDpZiUPXOQ7oUoAQusE9UGctYLqcfaCdznY6ILpT2slcbYjJsVQfIhge2WqQ=s4800-w1284-h1875', 'https://lh3.googleusercontent.com/places/ANXAkqESRdlfSdbYF5qByIw5VXlB066BM4__hDEGVVr0GSRGE31dmp0kIFIHuBsl1Gc7Q_-ELqAV4v1oPwgnT2AATgAwTJLJbsB3CP0=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqFV8vgwIKPFb-uOIqMCdcLGb_BRTS5NKAo8pTP1djfToQhAnIvieLtdgCDkISxHJOk6yKE6z8D0G5tL5ILB9XzKQsHoaqA7ImM=s4800-w1920-h1280', 'https://lh3.googleusercontent.com/places/ANXAkqECmDbsfwSC9xh9gGJXv3eYv9v4P78Y4FlDGptTQVPKvxO3V6XimUa2XbBpuI2ri4tJxp80mKKHgThEh0L7yUCKodNxMFB6ZpE=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqHiAb6-yM7GoadVeE6v-P_Wnq2xM3gUnbBMa3D37Oq2jjYKqX0dIuKX9Vbp1ELKxeXAfWLrJdiTBPTw95BzXzkdgkp6ydiBMG0=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqFNy3NTkbizWIt3ZoExFL_QpIvAR7FtOhS0jbqqBPCzIv8bFKLJOWTn2dPf91paZU2KfhSZ9A9AecLPWNlz_NLSgeTR4hCUWg4=s4800-w2781-h3416', 'https://lh3.googleusercontent.com/places/ANXAkqHwNIhwBNWi295--mdWMCrlnSIYmNoC_dfnY6_jV6fWoNQFnsdyCqX_cI3E3f-70SQ9L0K4149x7WbsTh1_bGELtKSZrkm_AfU=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqGNq5_YpxM0VGbacfgg3KsW5y-_BnZs3_HeeDM0ZAYEn5-M4QNAn8yH9X_CuRb38ZDwgMtwAZZGCkTJqTuQKe4JUHx_5am2yaA=s4800-w1202-h1676']"
Vibe Wine & Coffee,Café,Medium,Dilworth,"1315 East Blvd Suite 110, Charlotte, NC 28203, USA",,Yes,Free,No,No,Yes,,https://vibecafeandwine.com/,https://maps.google.com/?cid=10648894378412912630,"https://maps.apple.com/?ll=35.201812499999996,-80.8437902&q=Vibe%20Wine%20%26%20Coffee","You can get a pot of tea here, really relaxing jazz bar sort of interior vibes. They offer traditional Russian desserts and beverages. ",ChIJmaPz5ZOfVogR9q_0UwR5yJM,35.201812499999996,-80.8437902,,1/6/2025 12:38pm,11/6/2022 6:54pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqGJkMMYW46L4fVEuix7xnS3NYQzGavHz5hhfDWPePAzS4yDiw7JGuWJJOy4aSHUasWqE1dSt6IG27BhVFtH-yfabq-2sU7RYcU=s4800-w4000-h2252', 'https://lh3.googleusercontent.com/places/ANXAkqF-jxUNV9FHoWyqmLpAw_XMeoG2Az-bmRqw5cyROgn7e07fZLiX1Gy5ynqTkkAeHP8BSFoWaPS1Ajr28YGLPOvgVdlTuF2W2pg=s4800-w800-h800', 'https://lh3.googleusercontent.com/places/ANXAkqGAsvksZlHsMCxSBP5l9KllgrruFOO7NaqbirgdlDmQyGcyBY9jxkePM9AyxD869uZDFAhGHWTIGM0KiFJPVtiD_cIbfEs-Lzk=s4800-w4000-h2252', 'https://lh3.googleusercontent.com/places/ANXAkqGRqul_3s2vOtZrPo1SOGsWkOBXqKLAJiku55Vs-IX0r3GVgMPoNrsfFWPiBdawdmi7sSfU-IHh8vJx1FnEfQOPF5buOH4KS_0=s4800-w800-h800', 'https://lh3.googleusercontent.com/places/ANXAkqGAc93qu3abgFb6AxwaSUC7vhwsdvty0tjepzyrN6sI2RXOGVmlUZjTBcPytiwndHkIbKDDtU6HjdKioHHivHbvvtB9W7Mnh1s=s4800-w800-h800', 'https://lh3.googleusercontent.com/places/ANXAkqHLNgXbh-5DJr79PBda4ZgrVMfm-HvBVZ_Gtv7wF3YyvMJv5eBt9Ywp0Ct71tXoVsd9gB8v_VGEeTjWXItUrC1x3GQFVwCdi4Q=s4800-w800-h800', 'https://lh3.googleusercontent.com/places/ANXAkqFRDejKZUrfXdY-xGW8fUwj3N1dpUqKeW5XPi-Fe9CAeqdRNa-zi6Rn3duvQT6QBaeLorE1jeLTzC5TZOhNXxigw7FZaVeLqfo=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqE7i-TksdPEMwC2VdL0sE7aW5U0OvzP3fn1EzL9cQE94WXHKloZDaH_w_cVzAcxEPh2jI5BVsz3LhOKyfEUAkTPZ0iQ6ZtAsFQ=s4800-w800-h800', 'https://lh3.googleusercontent.com/places/ANXAkqHrrahaP3XDx2tRxP8PaeXuO3Zf7xo4hutNPNIAsy4x9JsctlSBCGbDVwyRpj5ROmwHB5MO6JSb774_u2DLuWjDs3IC9LsNwzE=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqHfG1t14Erlw9-QK8x3bY0pn6uVuWjrJDjmdy2R1fFliPqijWQ8du5fk6aCrVmn5OregjcIW66Js_6lpxfPLXeR6L5iwias0FM=s4800-w3000-h4000']"
Visart Cafe,Café,Medium,Commonwealth Park,"3102 Eastway Dr, Charlotte, NC 28205, USA",Artsy,Yes,Free,Yes,No,Yes,,http://www.visartvideo.org/,https://maps.google.com/?cid=10772625613033907216,"https://maps.apple.com/?ll=35.214056,-80.782638&q=Visart%20Cafe","This place is so cool. Vintage vibes all around. It's attached to a video store that still sells VHS tapes, DVD's, and Blu Rays. The cafe is an extension of that, serving coffee, tea, hot food, pastries, and other snack like items. When you arrive, the big sign says ""Visart Video"" but that's not where you go in for the cafe. Go around the corner down the long walkway, you'll pass a bunch of tables and chairs. That's a good chunk of the seating, outside, but there’s additional seating indoors through a door you pass walking in. The indoor area has this dark room/film auteur sort of vibe. Movie posters all around, various art pieces, very cool. There's Wi-Fi it's just not named after the store, ask the staff for the details. This is a great place to hang out if it's warm, there’s outlets outdoors. It’s right by an awesome local bookstore, Book Buyers, so you can get your drinks, browse the video store, and then browse the book store, all within walking distance. The first time I visited, a dude had the indoors booked to propose to his girlfriend. She was elated, I suspect they met here. The ambience here is...lovely ❤️.",ChIJk0bxMjshVIgRECQpU-sNgJU,35.214056,-80.782638,,1/6/2025 12:37pm,5/21/2024 4:08pm,Yes,[]
Wake Coffee Co.,Coffee Shop,Small,Mountain Island,"3611 Mt Holly-Huntersville Rd #201, Charlotte, NC 28216, USA",,Yes,Free,Yes,Yes,Yes,,https://wakecoffeeco.com/,https://maps.google.com/?cid=7320788537687340749,"https://maps.apple.com/?ll=35.3250033,-80.9465337&q=Wake%20Coffee%20Co.","Small space but they make good use of it to fit seating. They have small cubicle style areas near the back where you can work/study, but they’re paid spaces. So paid mini co-working spaces, can’t just pop into one. But they also have limited general seating in the front of the store that’s open to all. They have coffee, tea, treats (ice cream, pastries), and a bar. They have cinnamon rolls that they get from Sam’s club, cream cheese frosting. I know this because I’m plugged into the cinnamon roll scene of greater Charlotte. It’s something of an area of expertise for me. They’re marvelous cinnamon rolls, better warm, but amazing regardless. They’ve got some unique tea options, sourced locally.",ChIJsb4sTbClVogRzfaaSGOqmGU,35.3250033,-80.9465337,,1/6/2025 12:37pm,4/28/2024 12:24pm,Yes,[]
Waterbean Coffee | Belmont,Coffee Shop,Medium,Belmont (City),"35 N Main St, Belmont, NC 28012, USA",,Yes,Free,Yes,No,Yes,,http://www.waterbeancoffee.com/,https://maps.google.com/?cid=664586093768956258,"https://maps.apple.com/?ll=35.2435875,-81.038097&q=Waterbean%20Coffee%20%7C%20Belmont",,ChIJv43q1pW9VogRYlnD-YcVOQk,35.2435875,-81.038097,,1/6/2025 12:37pm,4/28/2024 12:43pm,Yes,[]
Waterbean Coffee | Cornelius,Coffee Shop,Unsure,Cornelius,"19420 Jetton Rd #105, Cornelius, NC 28031, USA",,Yes,Free,Yes,No,Yes,,https://www.waterbeancoffee.com/,https://maps.google.com/?cid=8340682996030780395,"https://maps.apple.com/?ll=35.476544,-80.892364&q=Waterbean%20Coffee%20%7C%20Cornelius",,ChIJXV8saVGpVogR6zOOev4OwHM,35.476544,-80.892364,,1/7/2025 9:12am,8/17/2024 10:45am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqEtC1L0SSl00VXYfoxXjo6eqY9ThijC4SsEtcHBGXxe5S1D6Y9cSgmEcItUwjMSw3Ohu-L-y7yfXXnqTv2LVm49fNzwiXZuJTs=s4800-w4800-h3200', 'https://lh3.googleusercontent.com/places/ANXAkqF0JjyCFpK6gKnDtuaAlqrcw_oq6RNveH2-wRF_Csfz4YSApbZ-TuwyPdw74EhX-QahwpSMiBeHAcEOoKlGplT54UfAYy-Q6r8=s4800-w4800-h3200', 'https://lh3.googleusercontent.com/places/ANXAkqF89BeChu2nItsM87-YwS-rZmSDlJ_cSGZD7CTQbWuYfN7zJq7A9MiPzm52FR_xX-buXrukdE_-HN2i8Vjoj5piXWZK3xS9hio=s4800-w4800-h3179', 'https://lh3.googleusercontent.com/places/ANXAkqFXMZTM7f1BIC_b3VnKY9tuTTPS2B3EM_FFOSMLiBGesKZGy4O0O-5E2DFYMQ-Xp_K9UfcWAc7m6DDA3wP6HNxM7QSHLR0bv9k=s4800-w4800-h2400', 'https://lh3.googleusercontent.com/places/ANXAkqGamvE6YRuYKGJMfbugB5mK7_2SLWI5ofoUjb7N4yPB2ap4DwxGo9MUcOCYdRY1nnKNd9E6uYQ2VDdUj8CSCmCr0X9FeqLTLo8=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGU4fPuAnMrtqCXmNbr5ZRHMPHb6vYrKa3PWyVCxXK1I4ip2Akrrokxx16nQocqhd-fHAi9JygtqISA5xKGMKCdJafvffqW5Hk=s4800-w4045-h2562', 'https://lh3.googleusercontent.com/places/ANXAkqHX0OZDvdWIGCNRfSmHjl_190mfPFedQRp_Awg2HkFUnJ0QoqDqlK3g6xqKOvhkYYc-Hqm3yNwE0yOaGtgl0DIaWgS44U-PA3o=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqFaCf1DAuJ-Yfn79BmqaVycXnVvcAxocUYuZ9EIf-JqQUsFE-5_WE2n2JyDnB8sKc-gj2Q0nbkrpPimloZkw4oWRpDj-_bfLmM=s4800-w4080-h3072']"
Waterbean Coffee | Huntersville,Coffee Shop,Large,Huntersville,"9705 Sam Furr Rd ste a, Huntersville, NC 28078, USA",,Yes,Free,Yes,No,Yes,,https://www.waterbeancoffee.com/,https://maps.google.com/?cid=1403215583463082947,"https://maps.apple.com/?ll=35.4430304,-80.8640544&q=Waterbean%20Coffee%20%7C%20Huntersville",,ChIJ3zz-ZgOpVogRwwuceyM5eRM,35.4430304,-80.8640544,,1/6/2025 12:37pm,8/17/2024 10:35am,Yes,[]
Waterbean Coffee | Midtown,Coffee Shop,Small,Midtown,"1111 Metropolitan Ave #160, Charlotte, NC 28204, USA",,Yes,Free,Yes,No,Yes,,http://www.waterbeancoffee.com/,https://maps.google.com/?cid=10057731397659160648,"https://maps.apple.com/?ll=35.2124114,-80.8353934&q=Waterbean%20Coffee%20%7C%20Midtown","Their Waterbean special sandwich is amazing. They also have a pretty broad selection of teas compared to most coffee shops. They’re displayed in little metal tins that you can pick up and smell, so whoever designed/runs Waterbean definitely has love for tea drinkers like myself.",ChIJ22nvVMOfVogRSHDEA2s9lIs,35.2124114,-80.8353934,,1/6/2025 12:38pm,11/7/2022 10:07am,Yes,[]
Waterbean Coffee | Olde Whitehall,Coffee Shop,Medium,Olde Whitehall,"3607 Whitehall Park Dr #1200, Charlotte, NC 28273, USA","Vibrant,Modern",Yes,Free,Yes,No,Yes,,http://waterbeancoffee.com/,https://maps.google.com/?cid=7667542971987301659,"https://maps.apple.com/?ll=35.1520304,-80.950886&q=Waterbean%20Coffee%20%7C%20Olde%20Whitehall","The Waterbean Special sandwich is amazing. They also have ice cream, which isn't a thing at all Waterbean locations. This location's interior is compact, but they have a large outdoor patio area that's well spaced and can comfortably sit 35-40 people at a time.",ChIJoaXHociZVogRG5VYabWVaGo,35.1520304,-80.950886,,1/6/2025 12:38pm,11/7/2022 10:05am,Yes,[]
Waterbean Coffee | Park Road,Coffee Shop,Small,Madison Park,"4701 Park Rd Suite A, Charlotte, NC 28209, USA",,Yes,Free,Yes,No,Yes,,http://www.waterbeancoffee.com/,https://maps.google.com/?cid=6169696223205880832,"https://maps.apple.com/?ll=35.166606099999996,-80.8500151&q=Waterbean%20Coffee%20%7C%20Park%20Road","Their Waterbean Special sandwich is amazing. They also have a pretty broad selection of teas compared to most coffee shops. They’re displayed in little metal tins that you can pick up and smell, so whoever designed/runs Waterbean definitely has love for tea drinkers like myself.",ChIJMQ7XOtGfVogRAHRBzAYqn1U,35.166606099999996,-80.8500151,,1/6/2025 12:38pm,11/7/2022 10:06am,Yes,[]
Waterbean Coffee | Pineville,Coffee Shop,Medium,Pineville,"333 Main St, Pineville, NC 28134, USA","Vibrant,Modern",Yes,Free,Yes,No,Yes,,http://www.waterbeancoffee.com/,https://maps.google.com/?cid=1245625963376652900,"https://maps.apple.com/?ll=35.0856475,-80.8912124&q=Waterbean%20Coffee%20%7C%20Pineville","This used to be the beloved spot Unwind Tea & Coffee before it was bought by Waterbean. The new Waterbean opened in the Fall of 2022 and while it doesn't have the same decor as Unwind, it keeps the respect the former had for tea. The interior setup makes great use of the space, with a noticeable uptick in spots for individual seating. It's always weird sitting at a table meant for 4 when you're just there to study/work on your laptop alone. You won't have that problem here. Great access to outlets, big windows that let in a lot of light. One of my favorite spots in the city.
",ChIJMRrxPIScVogRZLIRzjZaSRE,35.0856475,-80.8912124,,12/27/2024 11:05am,11/6/2022 6:41pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqHGD3drRr4VAb-est6h_1IcQwTqQERNhZy3vWgpTwH66kU65u2i05u9Jtli1m0vTrJYaJXVwnyONNymWrz1NS1HrQG1OpZlJqM=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqF8_5oT7qCvfMSlU3DmGOu7Hsg_4T62nwV4Uz3xpGa_iyGpHaWf8yDY2eWUtAsh1954_zShFD5Jft1p2lJAsDhCSW-YJWu0TV4=s4800-w3600-h4800', 'https://lh3.googleusercontent.com/places/ANXAkqEIC1wv2IC-vLwcaLPxwJutHXK3MWE7ptug-MVvcIlSGNHzvnENP9zZ6ozUx_P-lTYGgwL5LcMXKhSMap0VCPf9wiiJ7YLPlPk=s4800-w3600-h4800', 'https://lh3.googleusercontent.com/places/ANXAkqFe5G55AnxK-MwZZLzcHX-FgNQx8dJ3xsZUU0HKqy-ZfHyIP_bTuIJwzRPL6BhNFPLX8HnfQXCyo21jJ6qqWI3HVW7fUdELmg=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqGRIH8v2AbL7qwtvdtk1EFl2jwSeid3OZMxZJtKU4RLjoLN6RsDC8zs7GMiGkzXwHknQIfQ1FiAYLJZmwNx576GAKlqEm05xH0=s4800-w3970-h2978', 'https://lh3.googleusercontent.com/places/ANXAkqGQ21hTPBURhWZsHpSg3ict6VDP7PX-yz3_q1j-LbIpVdjJgH7BcCj-uBBOelDAWggPuAsy-_iMj3H8Xb_cm-QjlmZAXLu8NYU=s4800-w4608-h3456', 'https://lh3.googleusercontent.com/places/ANXAkqFF-tYmPsZY-0EPtDvgAtK66vVd7EE9uphvgQozxH1_xDEGjPEWPBsp88YhHgF8gkxJyQWCLKgJwK9UPwRNlS2UKXk1QtP5-08=s4800-w1616-h1080', 'https://lh3.googleusercontent.com/places/ANXAkqFlA6Q_Ed5OB02sLs6-PTPvnddVqzCs2dXeFqLTFglyPhTV6ieLHDDiHts8xDODDNhN9JvEKc8RpIWdlDIGFXy83s7pHs8v_IU=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGlp-TPcpc1cKvsJKuQS2wjtp7NlxAklZQHvBOYmNJwKqV4t1Ubn7btehdaMjnODh3ev7-YAwnIRZUe1gHm9id_0GgSrTZfanA=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEIz7w6LgZPXDXOYLI_loTsxLb3reUXvfdskZ9j9mmgpfzSkbl4T6HaDjqd9FMVmcn4w5u34xdL0crdUcg8Bp-r3pxiSCjGN0I=s4800-w4032-h3024']"
Waterbean Coffee | Quail Corners,Coffee Shop,Small,Quail Hollow,"8428 Park Rd, Charlotte, NC 28210, USA",Modern,Yes,Free,Yes,No,Yes,,http://www.waterbeancoffee.com/,https://maps.google.com/?cid=11247282562478391377,"https://maps.apple.com/?ll=35.117435,-80.85696829999999&q=Waterbean%20Coffee%20%7C%20Quail%20Corners",,ChIJpZby0KqdVogRUUD4YOZfFpw,35.117435,-80.85696829999999,,12/27/2024 11:05am,11/6/2022 6:46pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqFQlOEHz5x6vOQO85UGyiQ72eK0VP5QFgjoKHjFEigwzYoMLp56t3uOVhMt4sUEhv10AIQCICaurGq3pui74kIFEg1nE6tyWtw=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqHDOIcSGJ0rsdj9OPXlyCSQvZGgSuUTJS8wFmIw3mjvxq-B6MX4cql89-Pg1JDKYJuKnbeeSRdcwzOWoXkBfsCPgP0RA5G88c0=s4800-w960-h960', 'https://lh3.googleusercontent.com/places/ANXAkqGvTwWMF9ViWgJ2FwxxARGeB5w2-ALb1u8iNZ7rVbshiFwLpUn-8O9rQXeO2PKh1QkUhiIMYsCsz9UGWdFbT_XnXIe7q7wA38Q=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqHs2lEucCA3FPfREGqOTlHihMyT92kSMZiiKzE4bSbj-UatxZqfQENyNxRqBAu8cV6-1P5G3GqOEPUoRsCVEJeKmbLS1pnxStM=s4800-w2016-h1512', 'https://lh3.googleusercontent.com/places/ANXAkqFL-Xec8DNRD9RtrfkDWOc_xa-etmek5-sqC_3hTaDxpAAoq9oHwq2LXF7gD7_KHFETXic7yeefheB_3V__nvmH1qa-XETf970=s4800-w3600-h4800', 'https://lh3.googleusercontent.com/places/ANXAkqEyWQlFHmt045tQsVvaB2d6IMSWLgHYYNTyhhE1k13674qRcDv8asaaQHGHUQwQ7vkSKSABqjLZWIkdRGYKFkydbvB1p6CVolM=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEkkCWBanoLmURTimm20gp3rp0Mh6WTszWxSBj-TqLvztMPr6sr0nAeh0s60WePv72T-RnxWqpf_JnbYyB_s8ZKGagU0ukDD94=s4800-w3000-h4000', 'https://lh3.googleusercontent.com/places/ANXAkqFTkpuBy2jfqwU-4aPuA9kjQpUi04vGlZ4PpQdos74lTHZF7emTU7gM55Xyh6Gn41cBgDhYnhZbqy1hvvJvMpTDRut06LKgWpU=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEyohHLxwYjHzn9iAA4Jwl9ZTHXU_8A1ZJEGH5w-jXmNcUI_MvB44M2hZY7f2XfMyzaVVrGyb1_VHe8UqWE1zR_MsL4w9iQMQI=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEzfhApE4drghUFwBtU_I0eMsllBVWKEty4GElrZiMLc0Z0AIoZZTVdzmB4d6UmJUSHUgairtJj5ogP0FbWs0AX6As1PzVwG_4=s4800-w4000-h3000']"
Waterbean Coffee | Uptown,Coffee Shop,Medium,Uptown,"300 S Tryon St Ste 150, Charlotte, NC 28202, USA",Modern,Yes,Paid,Yes,No,Yes,,http://www.waterbeancoffee.com/,https://maps.google.com/?cid=1069224033280675956,"https://maps.apple.com/?ll=35.2259045,-80.8457504&q=Waterbean%20Coffee%20%7C%20Uptown",,ChIJ14-HHOihVogRdFAB4Zel1g4,35.2259045,-80.8457504,,1/6/2025 12:38pm,11/7/2022 10:09am,Yes,[]
Whole Foods | Huntersville,Grocery Store,Large,Huntersville,"9129 Sam Furr Rd, Huntersville, NC 28078, USA",,No,Free,Yes,Sometimes,Yes,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",https://www.wholefoodsmarket.com/stores/lakenorman,https://maps.google.com/?cid=6403243545564121303,"https://maps.apple.com/?ll=35.444017099999996,-80.87176529999999&q=Whole%20Foods%20%7C%20Huntersville",,ChIJz1pqsh6pVogR14ipLxTk3Fg,35.444017099999996,-80.87176529999999,,1/6/2025 12:37pm,8/17/2024 2:33pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqFeHoDPCnpIWICkqsqwAAOgqFqEIJX4GMWw8X8rC1NwTCW86TDdqeVIXu03lU4etwdynVFlJDeaCMpGKevi4Qv1TPJ9cTuB1us=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqFFr2weUxGys3nVynLc11KDFwJmQX399siMHgjjih5ZXUSUAg0mUNzstpyiSXr1CHerChWcQ9c9LOUdG8ENva69dE3S0gQwNQ=s4800-w4800-h2700', 'https://lh3.googleusercontent.com/places/ANXAkqGwIAAfHJ18kj32KrzZifsO0cF-QONCOhF80gL0pnxIV60X03EPH2bRFkQChAa54awlzakaWtfVz3ShW0WP7EJU4Ala_QhLufQ=s4800-w4160-h3088', 'https://lh3.googleusercontent.com/places/ANXAkqHTd8Sssns--mdoE1aHT9sdc0BXrH3Paaw5OjF2rDqNBj2B4cOc57181ic_hnP-8FqyI6Z1fzS4ZAnsNJ8aVHj7BaGghRljL_c=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGY6623K1QMgQO4jr4dTchkfICv-mEkhZbi4ibcDlUSqEiVEBKaIIjXpzL-IvRRJDudUiZeChphjlf3x8krTTQX4j8NxflKvEs=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqFlQgjEcocJNYHjVSGq8N-FbWisFkXH5kiPjJry1XeSLite7iK7J9eDkJj8zq5_ZUAfPUcIIB3Vnf45PJvcDuPS5plMxjzOD30=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqFDuYnz3nbhTXeqjS-IpKf2Gq8KnaGwrL6ZdwKKzoO1gI6L-ZiuSxi6ZC2MglHOUB_xNzvWBjGkFty3l5LvLr7XP_RGc2hdL94=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEpMXDgUv4OcGE8kQ9J1upD_qWJe4UQjG2YFJXlC4qYrf5chqnorpXkP3LrtBfXy-6v0wUNHPILniTM_VBptN2jcchPyPOKIA=s4800-w4800-h2700', 'https://lh3.googleusercontent.com/places/ANXAkqGCVW1gDwYXu4Jttux-3ItgGZV1QpUWHIfwUxLdu5qD9lnG3ysTr3KDfsx61priiyFS0_403ElsMH2OggxApVIfiwP8rbd1FA0=s4800-w4032-h2268', 'https://lh3.googleusercontent.com/places/ANXAkqFArxcV9YTdubOSVbQAp6OrMBVhBN_Y7VliukJpg_zaivXZu9vEiPBM2Gztrtckz3CenuFPB3SGN7x2P1ssE_iA9Il93V_p74g=s4800-w4032-h3024']"
